name,is_private,num_apps,perc_accept,perc_top10,num_fulltime,perc_fulltime,cost_tuition,cost_room_board,perc_terminal,ratio_student_faculty,perc_alumni,cost_expenditure,perc_graduate
College of Charleston,0,4772,65,22,6851,85,6120,3460,78,17.2,18,4776,51
College of Mount St. Joseph,1,798,77,14,1165,48,9800,4430,46,11.1,35,6889,100
College of Mount St. Vincent,1,946,68,23,707,62,11790,5770,77,11.9,35,10015,83
College of Notre Dame,1,344,76,11,500,60,12600,5520,80,10.4,7,9773,43
College of Notre Dame of Maryland,1,457,77,35,667,25,11180,5620,64,11.5,32,7477,75
College of Saint Benedict,1,938,92,29,1715,94,12247,4221,88,13.1,26,8847,72
College of Saint Catherine,1,511,80,23,1692,75,12224,4440,87,11.5,32,7315,77
College of Saint Elizabeth,1,444,80,34,493,33,10900,5250,70,11.4,23,9447,78
College of Saint Rose,1,983,67,23,1698,65,9990,5666,71,14.3,28,6084,64
College of Santa Fe,1,546,81,16,873,56,11138,4138,74,14.0,7,8820,80
College of St. Joseph,1,141,83,12,201,53,8300,4850,53,9.5,19,6936,76
College of St. Scholastica,1,672,88,29,1350,83,11844,3696,76,11.6,33,8996,72
College of the Holy Cross,1,2994,56,70,2675,99,18000,6300,96,11.3,55,12138,95
College of William and Mary,0,7117,43,68,5186,97,11720,4298,92,12.1,31,9534,93
College of Wooster,1,2100,89,29,1704,99,16240,4690,96,11.1,43,14140,69
Colorado College,1,3207,49,56,1892,99,17142,4190,97,11.3,51,14664,84
Colorado State University,0,9478,66,29,15646,89,8412,4180,89,19.2,10,7850,59
Columbia College MO,1,314,50,10,690,11,8294,3700,87,15.3,2,5015,37
Columbia College,1,737,83,21,968,80,10425,3975,77,14.7,34,8693,76
Columbia University,1,6756,28,78,3376,98,18624,6664,98,5.9,21,30639,99
Concordia College at St. Paul,1,281,94,13,1049,85,10500,3750,75,12.8,18,6955,45
Concordia Lutheran College,1,232,93,16,534,75,6900,3800,76,12.1,9,6875,42
Concordia University CA,1,688,72,30,641,86,10800,4440,60,13.1,13,8415,55
Concordia University,1,528,76,22,1168,88,9216,4191,64,12.1,13,7309,75
Connecticut College,1,3035,50,42,1630,87,18740,6300,95,10.7,40,14773,91
Converse College,1,440,92,35,643,88,12050,3700,76,10.2,31,10965,75
Cornell College,1,1538,86,33,1140,99,15248,4323,76,12.2,31,10340,64
Creighton University,1,2967,95,30,3450,84,10628,4372,90,6.5,32,22906,85
Culver-Stockton College,1,1576,70,24,992,89,8000,3700,52,14.1,28,5807,51
Cumberland College,1,995,79,26,1306,91,6230,3526,44,13.0,4,8189,63
D'Youville College,1,866,71,18,1074,76,8920,4310,68,14.6,42,6898,46
Dana College,1,504,95,10,550,86,9130,3322,51,12.6,25,8686,54
Daniel Webster College,1,585,86,12,460,46,12292,4934,61,22.2,10,8643,72
Dartmouth College,1,8587,26,87,3918,99,19545,6070,99,4.7,49,29619,98
Davidson College,1,2373,40,77,1601,99,17295,5070,97,12.0,46,17581,94
Defiance College,1,571,80,10,645,69,10850,3670,60,12.8,19,7505,56
Delta State University,0,967,97,15,2806,83,4528,1880,63,17.1,16,5113,58
Denison University,1,2762,82,32,1835,99,16900,4720,97,11.6,45,12423,81
DePauw University,1,1994,83,50,1983,98,14300,5020,94,11.1,31,11525,82
Dickinson College,1,3014,84,31,1889,96,18700,5000,94,11.2,39,13861,87
Dickinson State University,0,434,94,10,1376,85,4486,2146,64,16.5,28,4525,46
Dillard University,1,1998,68,41,1539,97,6700,3650,52,14.1,12,7566,61
Doane College,1,793,89,20,1022,71,9570,3000,72,15.1,42,6852,60
Dominican College of Blauvelt,1,360,91,4,756,46,8310,5500,43,12.7,5,5480,54
Dordt College,1,604,93,25,1048,94,9800,2650,60,12.5,17,7325,87
Dowling College,1,1011,81,9,1059,30,9000,3100,78,12.4,7,11178,42
Drake University,1,2799,91,34,3322,82,13420,4770,93,15.0,24,9473,77
Drew University,1,2153,73,56,1192,93,18432,5616,97,10.2,28,14907,83
Drury College,1,700,92,33,1065,95,8730,3523,92,13.2,35,9303,67
Duke University,1,13789,28,90,6188,99,18590,5950,96,5.0,44,27206,97
Earlham College,1,1358,74,35,1028,98,15036,4056,94,10.6,46,14634,78
East Carolina University,0,9274,68,14,13171,88,7248,3240,78,13.2,18,9002,58
East Tennessee State University,0,3330,81,15,6706,71,5800,3000,75,14.0,9,9825,42
East Texas Baptist University,1,379,89,10,1050,87,4950,2780,62,15.7,7,5619,38
Eastern College,1,458,80,16,1057,74,11190,4800,60,13.6,22,8135,54
Eastern Connecticut State University,0,2172,68,14,2766,64,5962,4316,76,16.9,14,5719,50
Eastern Illinois University,0,5597,75,12,9161,91,5710,3066,71,16.2,5,5682,76
Eastern Mennonite College,1,486,90,19,903,93,9650,3800,65,11.4,29,10188,82
Eastern Nazarene College,1,516,79,17,1238,97,8770,3500,58,17.3,17,6430,70
Eckerd College,1,1422,77,33,1363,98,15360,4080,89,12.8,26,15003,59
Elizabethtown College,1,2417,76,36,1476,83,14190,4400,68,12.8,25,9815,81
Elmira College,1,1457,71,27,1109,68,14990,4980,98,21.5,21,7502,64
Elms College,1,245,84,23,544,55,11800,4765,71,11.3,21,8952,86
Elon College,1,3624,76,11,2933,89,9100,3883,74,18.9,34,6329,63
Embry Riddle Aeronautical University,1,3151,82,14,4772,84,7800,3750,43,16.5,4,12878,44
Emory & Henry College,1,765,84,30,809,96,8578,4408,88,13.9,51,8061,82
Emory University,1,8506,49,76,5544,96,17600,6000,98,5.0,28,28457,96
Emporia State University,0,1256,100,43,3957,87,5401,3144,75,19.3,4,5527,50
Erskine College,1,659,84,47,532,93,10485,3840,80,13.5,47,7527,67
Eureka College,1,560,81,36,484,96,10955,3450,87,10.6,31,9552,53
Evergreen State College,0,1801,61,14,3065,89,6297,4600,78,18.1,14,8355,68
Fairfield University,1,4784,69,30,2984,74,15000,6200,90,15.1,30,11220,94
Fayetteville State University,0,1455,73,1,2632,81,6806,2550,75,15.1,10,6972,24
Ferrum College,1,1339,82,12,1051,92,9400,4200,58,12.5,9,7967,22
Flagler College,1,1415,50,18,1345,96,5120,3200,60,18.1,9,3930,69
Florida Institute of Technology,1,1947,81,39,1863,88,13900,4140,90,10.6,7,8923,57
Florida International University,0,3306,62,42,10208,52,6597,2494,96,13.9,20,6722,66
Florida Southern College,1,1381,75,20,1506,60,8025,4865,74,17.4,10,6339,68
Florida State University,0,11651,74,50,18906,85,6680,4060,89,23.1,15,7250,58
Fontbonne College,1,291,84,16,981,74,8390,4100,55,21.5,24,4607,62
Fordham University,1,4200,68,30,4740,74,14235,6965,97,14.4,14,10864,80
Fort Lewis College,0,3440,82,16,3793,88,6198,3320,97,19.1,6,4362,46
Francis Marion University,0,1801,91,13,3224,88,5840,3138,76,19.1,8,5039,43
Franciscan University of Steubenville,1,553,81,22,1301,84,9650,4400,69,14.9,8,6336,83
Franklin College,1,804,78,29,840,92,10390,4040,78,12.5,37,11751,60
Franklin Pierce College,1,5187,86,3,1818,60,13320,4630,56,17.6,16,6418,51
Freed-Hardeman University,1,895,61,20,1174,95,5500,3340,76,16.1,13,6078,62
Fresno Pacific College,1,346,79,51,704,91,9900,3670,59,10.5,14,8095,54
Furman University,1,2161,90,56,2371,93,13440,4048,95,13.5,28,12940,82
Gannon University,1,2464,77,24,2693,79,10970,4280,51,13.3,18,7711,65
Gardner Webb University,1,1110,83,18,1603,81,8180,4270,58,15.2,12,5664,29
Geneva College,1,668,79,19,1306,83,9476,4820,67,20.1,26,6786,74
George Fox College,1,809,89,27,1271,96,12500,4130,53,13.5,22,7136,52
George Mason University,0,5653,76,17,9528,71,10800,4840,96,19.3,7,6751,46
George Washington University,1,7875,64,38,5471,78,17450,6328,93,7.6,15,14745,72
Georgetown College,1,727,95,30,1063,95,8100,3950,76,13.3,28,7508,55
Georgetown University,1,11115,25,71,5881,93,18300,7131,92,7.2,27,19635,95
Georgia Institute of Technology,0,7837,57,89,8528,92,6489,4438,92,19.3,33,11271,70
Georgia State University,0,3793,61,9,7732,46,6744,2655,89,19.0,10,7762,34
Georgian Court College,1,348,80,12,1095,58,9150,3950,59,12.2,27,7348,76
Gettysburg College,1,3596,68,42,1944,97,19964,4328,95,12.1,32,14720,83
Goldey Beacom College,1,633,73,10,823,46,6120,2985,25,27.6,4,6081,36
Gonzaga University,1,1886,80,31,2523,89,13000,4450,90,14.7,32,9553,69
Gordon College,1,674,83,25,1151,96,12200,4070,82,14.2,32,9226,66
Goshen College,1,440,90,26,910,84,9420,3730,56,9.9,46,10270,72
Goucher College,1,1151,70,40,850,91,15588,6174,90,9.2,34,16623,77
Grace College and Seminary,1,548,78,18,618,84,8958,3670,59,15.3,26,9798,64
Graceland College,1,555,74,14,996,30,9100,3100,61,23.6,24,5609,47
Grand Valley State University,0,5165,75,20,8234,75,6108,3800,66,20.6,9,5063,57
Green Mountain College,1,780,80,7,545,92,11750,2700,83,14.0,24,6475,76
Greensboro College,1,608,81,10,649,67,8330,3770,80,13.0,31,7949,39
Greenville College,1,510,75,20,771,93,10310,4530,61,14.3,16,8222,60
Grinnell College,1,2039,68,56,1333,97,15688,4618,92,9.5,54,18979,83
Grove City College,1,2491,44,57,2213,98,5224,3048,65,18.4,18,4957,100
Guilford College,1,1202,87,18,1410,82,13404,5160,86,15.6,30,9114,65
Gustavus Adolphus College,1,1709,81,36,2281,97,14125,3600,89,12.5,58,9907,80
Gwynedd Mercy College,1,380,62,30,716,39,11000,5550,41,7.8,22,7483,96
Hamilton College,1,3140,56,40,1646,98,19700,5050,96,9.6,60,17761,91
Hamline University,1,1006,82,34,1362,93,13252,4194,93,13.0,33,10296,65
Hampden - Sydney College,1,817,78,20,945,99,13218,4773,97,13.3,53,12263,69
Hampton University,1,7178,52,25,4623,86,7161,3518,64,14.0,9,6791,70
Hanover College,1,1006,83,33,1024,98,8200,3485,84,10.6,26,9248,64
Hardin-Simmons University,1,467,90,16,1365,80,6300,2980,79,13.7,10,7054,38
Harding University,1,1721,62,35,3128,93,5504,3528,77,17.7,37,6466,73
Hartwick College,1,2083,82,22,1464,95,17480,4780,87,12.3,32,11625,73
Harvard University,1,13865,15,90,6862,95,18485,6410,97,9.9,52,37219,100
Harvey Mudd College,1,1377,41,95,654,99,17230,6690,100,8.2,46,21569,100
Hastings College,1,817,86,22,935,96,9376,3272,63,13.0,17,7335,52
Hendrix College,1,823,87,52,954,99,8800,3195,99,13.1,26,8588,63
Hillsdale College,1,920,80,35,1133,96,11090,4700,80,12.0,31,12639,79
Hiram College,1,922,79,37,1000,78,14067,4560,95,10.6,34,12165,79
Hobart and William Smith Colleges,1,2688,77,25,1792,99,19029,5841,99,12.1,37,13040,79
Hofstra University,1,7428,78,25,6534,82,11600,5920,90,13.9,10,10093,60
Hollins College,1,602,82,26,795,91,13470,5515,91,11.1,48,13957,72
Hood College,1,699,80,36,710,64,13960,6040,88,14.4,34,12434,72
Hope College,1,1712,86,37,2505,92,12275,4341,81,12.5,40,9284,72
Houghton College,1,949,82,30,1210,97,9990,3550,90,15.0,24,8187,67
Huntingdon College,1,608,85,26,538,81,8080,3920,72,11.4,9,7703,44
Huntington College,1,450,95,20,488,91,9950,3920,76,11.8,25,9466,47
Huron University,1,600,32,3,392,85,7260,3090,35,12.9,4,9249,21
Husson College,1,723,90,10,951,57,7800,4000,44,22.0,4,4923,84
Illinois Benedictine College,1,607,91,22,1222,70,10500,4348,91,11.6,29,8324,75
Illinois College,1,894,88,28,909,97,8050,3850,75,15.6,30,7348,52
Illinois Institute of Technology,1,1756,77,42,1911,75,14550,4620,88,12.3,26,12851,56
Illinois State University,0,8681,77,10,15701,89,7799,3403,84,21.0,16,5569,54
Illinois Wesleyan University,1,3050,44,55,1818,98,14360,4090,92,12.9,34,9605,83
Immaculata College,1,268,94,16,494,27,10000,5364,64,11.2,33,7305,69
Incarnate Word College,1,1163,79,16,1685,75,8840,4689,69,11.4,21,6095,95
Indiana State University,0,5659,84,10,8596,81,6892,3706,76,16.6,8,6996,40
Indiana University at Bloomington,0,16587,79,25,24763,90,9766,3990,88,21.3,24,8686,68
Indiana Wesleyan University,1,735,57,20,2448,77,9210,3782,51,39.8,15,6562,34
Iona College,1,4892,72,13,3906,72,10690,6790,83,16.0,14,8107,66
Iowa State University,0,8427,88,26,18676,91,7550,3224,88,19.2,22,8420,65
Ithaca College,1,7259,76,23,5612,97,14424,6192,79,11.5,25,9812,75
James Madison University,0,11223,47,32,9652,92,7994,4544,81,17.9,29,5212,98
Jamestown College,1,472,86,14,9950,99,7620,3050,53,17.0,21,3186,54
Jersey City State College,0,2957,48,10,3817,73,3946,4800,67,14.9,10,8367,26
John Brown University,1,605,66,24,961,90,6398,3672,68,13.3,19,8118,75
John Carroll University,1,2421,87,27,3168,88,11700,5550,90,14.5,28,7738,89
Johns Hopkins University,1,8474,40,75,3566,69,18800,6740,97,3.3,38,56233,90
Johnson State College,0,833,80,3,1224,78,7656,4690,91,14.4,15,6564,36
Judson College,1,313,72,10,552,89,9414,4554,55,10.6,30,7840,56
Juniata College,1,1005,85,36,1075,96,14850,4460,97,12.7,37,12067,80
Kansas State University,0,5880,69,25,14914,86,6995,3120,86,18.5,22,6122,54
Kansas Wesleyan University,1,589,97,16,474,64,8400,3250,55,12.4,14,6535,68
Keene State College,0,3121,78,5,3480,81,7870,4157,73,16.1,13,6195,61
Kentucky Wesleyan College,1,584,85,20,662,84,8000,4150,65,11.3,32,7058,62
Kenyon College,1,2212,69,44,1445,99,19240,3690,95,11.1,46,14067,88
Keuka College,1,461,82,10,738,93,9600,4550,94,13.3,43,7863,51
King's College,1,1456,72,20,500,48,10910,5160,72,15.6,37,7649,87
King College,1,355,84,34,509,92,8664,3350,68,10.7,25,8954,65
Knox College,1,1040,81,48,967,97,15747,4062,95,12.7,33,13224,79
La Roche College,1,361,88,10,650,44,8842,4782,73,14.2,14,7022,52
La Salle University,1,2929,62,20,2738,62,12600,5610,90,15.1,9,9084,84
Lafayette College,1,4010,59,36,2018,89,18730,5740,96,10.5,38,15365,92
LaGrange College,1,544,73,15,600,62,6987,3585,83,12.5,12,9067,75
Lake Forest College,1,979,65,31,968,97,16880,3970,94,10.7,19,15687,77
Lakeland College,1,497,90,24,887,31,9400,4005,65,17.2,25,4054,57
Lamar University,0,2336,73,10,5438,57,4752,3040,82,18.4,12,5879,26
Lambuth University,1,831,64,15,840,72,5170,3430,61,16.1,10,5531,60
Lander University,0,1166,86,9,2074,85,4938,2987,77,17.0,11,6119,51
Lawrence University,1,1243,76,50,1129,93,17163,3891,92,10.1,57,13965,77
Le Moyne College,1,1470,81,21,1820,76,11040,4840,92,13.3,28,8118,94
Lebanon Valley College,1,1386,76,28,965,65,13850,4755,84,12.3,30,8196,85
Lehigh University,1,6397,67,40,4298,97,18700,5580,99,12.5,43,14665,91
Lenoir-Rhyne College,1,979,75,25,1188,87,10100,4000,92,12.0,20,8539,66
Lesley College,1,244,81,12,1134,77,11700,5300,88,27.8,18,8694,58
LeTourneau University,1,477,87,29,1532,95,8840,4240,70,20.8,23,6863,56
Lewis and Clark College,1,2774,75,35,1763,96,15800,4790,98,12.3,21,12999,69
Lewis University,1,1154,90,12,2192,60,10560,4520,48,14.3,10,7701,61
Lincoln Memorial University,1,787,71,21,925,60,5950,2890,72,14.6,35,5177,53
Lincoln University,0,1660,65,15,1196,97,4818,3400,72,12.6,8,10912,45
Lindenwood College,1,810,59,6,2155,91,9200,4800,85,24.1,9,3480,100
Linfield College,1,1561,76,48,1548,64,13380,4210,91,17.8,34,8747,81
Livingstone College,1,900,52,22,621,98,4400,3400,93,10.4,16,9268,92
Lock Haven University of Pennsylvania,0,3570,62,17,3390,91,7352,3620,55,16.1,14,6374,63
Longwood College,0,2747,68,12,2874,96,7920,3962,80,18.4,23,5553,62
Loras College,1,1641,78,20,1663,90,11200,4000,62,14.2,24,7578,70
Louisiana College,1,2013,52,33,912,85,5150,3036,74,10.5,11,7547,59
Louisiana State University at Baton Rouge,0,5996,83,29,16269,81,5925,2980,87,15.9,11,6741,37
Louisiana Tech University,0,2397,89,22,6720,78,3957,2325,77,20.0,13,4546,45
Loyola College,1,4076,76,25,3010,94,12990,6300,88,14.7,27,9448,80
Loyola Marymount University,1,3768,70,42,3558,89,13592,5916,88,14.2,10,11677,84
Loyola University,1,1891,89,24,2740,78,11100,5870,88,11.7,14,9456,53
Loyola University Chicago,1,3579,82,25,5244,60,11500,5330,95,6.2,15,13009,65
Luther College,1,1549,89,38,2269,96,13240,3560,85,13.8,38,8949,77
Lycoming College,1,1286,78,16,1363,94,13900,4300,81,14.0,32,8024,72
Lynchburg College,1,1756,85,3,1524,84,12450,5400,66,12.4,24,8832,70
Lyndon State College,0,535,93,6,959,86,7320,4640,65,12.6,15,7114,51
Macalester College,1,2939,50,56,1723,93,15909,4772,91,11.9,37,14213,77
MacMurray College,1,740,75,12,628,90,9620,3750,55,10.8,33,10642,59
Malone College,1,874,86,21,1605,86,9858,3700,45,17.6,16,4796,55
Manchester College,1,1004,79,23,909,94,10440,3850,72,11.8,20,7940,64
Manhattan College,1,2432,71,20,2578,91,12370,6800,92,13.6,25,10062,79
Manhattanville College,1,962,77,21,830,84,14700,6550,97,11.3,24,11291,70
Mankato State University,0,3073,86,9,9649,84,4300,2643,68,19.0,11,5801,68
Marian College of Fond du Lac,1,824,81,15,1160,63,9400,3400,37,8.4,21,5352,59
Marietta College,1,1611,59,27,1089,83,13850,3920,97,13.2,30,10223,96
Marist College,1,4731,67,12,3557,84,10700,5925,81,17.6,34,8408,69
Marquette University,1,5152,89,36,7016,89,11610,4760,94,13.5,25,9982,77
